t,qw,qx,qy,qz
29862.0,0.88793,-0.43726,-0.12451,0.06989
29895.0,0.88818,-0.43701,-0.12378,0.06952
29928.0,0.88867,-0.43604,-0.12421,0.06866
29961.0,0.88904,-0.4353,-0.12439,0.06818
29994.0,0.88953,-0.43433,-0.12445,0.06793
30028.0,0.88965,-0.43408,-0.12451,0.06775
30061.0,0.88974,-0.43384,-0.12469,0.06787
30095.0,0.88985,-0.43359,-0.12445,0.06836
30128.0,0.89004,-0.43311,-0.12469,0.0686
30161.0,0.89012,-0.43286,-0.12494,0.06866
30194.0,0.89008,-0.43311,-0.12433,0.06866
30227.0,0.89001,-0.43335,-0.12396,0.06879
30261.0,0.89022,-0.43311,-0.12323,0.06885
30294.0,0.89032,-0.43311,-0.1225,0.06891
30328.0,0.89046,-0.43286,-0.12225,0.06909
30361.0,0.89046,-0.43286,-0.12195,0.06958
30394.0,0.89033,-0.43311,-0.12164,0.07031
30427.0,0.88932,-0.4353,-0.12024,0.0719
30460.0,0.8884,-0.43701,-0.11981,0.07355
30494.0,0.88736,-0.43896,-0.11945,0.07507
30527.0,0.88706,-0.43945,-0.11926,0.07599
30561.0,0.88664,-0.44019,-0.11932,0.0766
30594.0,0.88658,-0.44019,-0.11951,0.07703
30627.0,0.88617,-0.44092,-0.11945,0.07758
30661.0,0.88588,-0.44141,-0.11932,0.07837
30693.0,0.88538,-0.44238,-0.11896,0.07904
30727.0,0.88313,-0.44678,-0.11859,0.08002
30760.0,0.88042,-0.4519,-0.11841,0.08142
30793.0,0.87698,-0.45825,-0.11841,0.08301
30827.0,0.87465,-0.46216,-0.11945,0.08447
30860.0,0.8708,-0.46851,-0.12103,0.08698
30893.0,0.86536,-0.47754,-0.12354,0.08856
30927.0,0.85867,-0.48877,-0.12482,0.09064
30960.0,0.85154,-0.49976,-0.12695,0.09491
30993.0,0.84264,-0.51367,-0.12634,0.10065
31026.0,0.82792,-0.53613,-0.12292,0.10956
31060.0,0.8081,-0.56299,-0.12256,0.1225
31093.0,0.78803,-0.58545,-0.13025,0.13892
31126.0,0.75831,-0.62109,-0.10907,0.16528
31160.0,0.72488,-0.65527,-0.09387,0.19067
31193.0,0.71127,-0.67041,-0.08319,0.19421
31226.0,0.70107,-0.68213,-0.08521,0.18958
31259.0,0.70049,-0.68457,-0.08429,0.18323
31293.0,0.69613,-0.68945,-0.06635,0.18884
31326.0,0.68865,-0.69727,-0.04202,0.19446
31359.0,0.68329,-0.70459,-0.03391,0.18848
31393.0,0.68084,-0.70947,-0.02853,0.17969
31426.0,0.68256,-0.7085,-0.01955,0.17822
31459.0,0.67989,-0.70996,3e-05,0.18359
31492.0,0.6849,-0.70557,0.00973,0.18164
31526.0,0.69228,-0.69922,0.00578,0.17834
31559.0,0.69249,-0.69971,0.00252,0.17566
31592.0,0.69045,-0.70215,0.00184,0.17395
31626.0,0.68889,-0.7041,0.0022,0.17224
31659.0,0.68819,-0.70508,0.00381,0.17102
31692.0,0.6884,-0.70508,0.00443,0.17017
31725.0,0.6913,-0.70215,0.00272,0.17053
31759.0,0.69115,-0.70215,0.00217,0.17114
31792.0,0.69015,-0.70215,0.00628,0.17505
31825.0,0.68982,-0.70117,0.01317,0.17981
31859.0,0.69294,-0.69678,0.01502,0.18469
31892.0,0.69596,-0.69287,0.01793,0.18774
31925.0,0.69828,-0.68994,0.01994,0.1897
31958.0,0.69994,-0.68799,0.01877,0.1908
31992.0,0.7,-0.6875,0.01936,0.19226
32025.0,0.70076,-0.68652,0.01823,0.19312
32058.0,0.701,-0.68604,0.0183,0.19397
32092.0,0.70055,-0.68604,0.0184,0.19556
32125.0,0.69836,-0.6875,0.01678,0.19836
32158.0,0.69552,-0.68945,0.01559,0.20166
32192.0,0.69457,-0.68994,0.01411,0.20337
32225.0,0.69386,-0.68994,0.01516,0.20569
32258.0,0.69208,-0.69043,0.01593,0.20996
32291.0,0.69042,-0.69141,0.01483,0.21228
32325.0,0.69028,-0.69092,0.01418,0.21436
32358.0,0.68953,-0.69141,0.01372,0.21521
32391.0,0.68842,-0.69238,0.01281,0.2157
32425.0,0.68588,-0.69482,0.01228,0.21594
32458.0,0.68579,-0.69531,0.01097,0.21472
32491.0,0.68554,-0.69629,0.01033,0.2124
32524.0,0.68099,-0.70117,0.01102,0.21094
32558.0,0.67333,-0.7085,0.01298,0.21094
32591.0,0.66464,-0.7168,0.01273,0.21045
32624.0,0.65011,-0.73047,0.01225,0.20886
32658.0,0.6343,-0.74463,0.01341,0.2074
32691.0,0.62303,-0.75439,0.01463,0.20618
32724.0,0.60997,-0.76514,0.01575,0.20557
32757.0,0.59517,-0.77686,0.01624,0.20496
32791.0,0.58651,-0.78369,0.01659,0.20386
32824.0,0.58577,-0.78418,0.01678,0.2041
32857.0,0.58181,-0.78711,0.01744,0.2041
32891.0,0.57228,-0.79443,0.01765,0.20264
32924.0,0.55682,-0.80615,0.01697,0.19946
32957.0,0.54438,-0.81543,0.01559,0.19617
32990.0,0.53977,-0.81885,0.01497,0.1947
33023.0,0.53969,-0.81885,0.01476,0.19495
33057.0,0.5361,-0.82129,0.01469,0.19458
33090.0,0.52853,-0.82666,0.01344,0.19263
33124.0,0.52367,-0.83008,0.01226,0.19128
33157.0,0.52328,-0.83057,0.01082,0.19031
33190.0,0.52485,-0.82959,0.00983,0.19031
33224.0,0.52042,-0.83252,0.00936,0.1897
33256.0,0.51924,-0.8335,0.00742,0.18872
33290.0,0.52385,-0.83057,0.00543,0.18896
33323.0,0.53252,-0.82471,0.00388,0.19043
33356.0,0.55465,-0.80957,0.00079,0.19226
33390.0,0.5915,-0.78223,-0.0018,0.19556
33423.0,0.6075,-0.76904,-0.00415,0.19873
33457.0,0.58978,-0.78223,-0.00343,0.20068
33489.0,0.54299,-0.81592,-0.00669,0.19849
33523.0,0.51837,-0.83252,-0.01405,0.19495
33556.0,0.51995,-0.83203,-0.0215,0.19214
33589.0,0.53676,-0.82178,-0.02852,0.18909
33623.0,0.55477,-0.81006,-0.03714,0.18616
33656.0,0.5822,-0.7915,-0.0546,0.17773
33690.0,0.6058,-0.77344,-0.06616,0.17444
33722.0,0.61631,-0.76514,-0.0708,0.17236
33756.0,0.621,-0.76123,-0.0705,0.17297
33789.0,0.62557,-0.75732,-0.07361,0.17236
33822.0,0.63896,-0.74561,-0.08093,0.17102
33856.0,0.64582,-0.73926,-0.08337,0.17163
33889.0,0.64695,-0.73828,-0.08203,0.17224
